Index,Day,Month,Year,Type,Registration,Operator,Fatalities,Location,Country,Category
1,,,,Antonov An-12B,T-1206,Indonesian AF,,,Unknown country,U1
2,,,,Antonov An-12B,T-1204,Indonesian AF,,,Unknown country,U1
3,,,,Antonov An-12B,T-1201,Indonesian AF,,,Unknown country,U1
4,,,,Antonov An-12BK,,Soviet AF,,Tiksi Airport (IKS),Russia,A1
5,,,,Antonov An-12BP,CCCP-11815,Soviet AF,0,Massawa Airport ...,Eritrea,A1
6,,,,Antonov An-12BP,CCCP-12172,Soviet AF,,,Russia,U1
7,,,,Antonov An-2,CCCP-N574,GUSMP - Directorate of Polar Aviation,,unknown,Russia,A1
8,,,,Antonov An-2,CCCP-01216,Aeroflot,0,Chita region,Russia,A2
9,,,,Antonov An-24B,RA-47794,Russian AF,0,,Russia,A1
10,,,,Antonov An-26,01 red,Soviet AF,0,Orenburg Air Base,Russia,O1
11,,,,Antonov An-26,RA-47415,Russian AF,0,Belgorod Airport...,Russia,A1
12,,,,Antonov An-26,RA-47414,Aeroflot,0,,Russia,A1
13,,,,Antonov An-26,5A-DOK,Sin Sad Airlines,,Wadi Bu al Hashm,Libya,A1
14,,,,Antonov An-2R,-,PZL-Mielec,0,Mielec,Poland,O1
15,,,,Antonov An-2R,YU-BFR,Privredna Avijacija Osijek,,,Unknown country,U1
16,,,,Antonov An-2T,CCCP-01196,Aeroflot - Azerbaijan,0,,Unknown country,O1
17,,,,Antonov An-2T,CCCP-28909,Aeroflot - Azerbaijan,0,,?,O1
18,,,,Antonov An-2T,CCCP-98313,Aeroflot - Azerbaijan,0,,?,O1
19,,,,Antonov An-2T,CCCP-28895,Aeroflot - Azerbaijan,0,,?,O1
20,,,,Antonov An-2T,CCCP-35494,Aeroflot - Azerbaijan,0,,?,O1
21,,,,Antonov An-32,K2688,Indian AF,0,Kalaikunda Air F...,India,A1
22,,,,Antonov An-32A,-,Antonov Design Bureau,,,Unknown country,A1
23,,,,Avia 14,LZ-ILG,Balkan Bulgarian,0,Sofia-Vrazhdebna...,Bulgaria,O1
24,,,,BN-2A Islander,HP-556XI,Unknown,,,Unknown country,U1
25,,,,BN-2A Islander,MM60223,Somalian Aeronautical Corps,,,Unknown country,U1
26,,,,BN-2A Islander,N67HA,MD Air Services,0,Nassau Internati...,Bahamas,A1
27,,,,BN-2A Islander,9Q-CRF,Enterprise General M.Forrest,,,Unknown country,U1
28,,,,BN-2A-20 Islander,Z-WPR,Bush Pilots,,Charles Prince ?,Zimbabwe,U1
29,,,,BN-2A-21 Islander,F-ODHO,Unknown,,,Unknown country,U1
30,,,,BN-2A-21 Islander,N497BN,St. Lucia Airways,,,Unknown country,U1
31,,,,BN-2A-21 Islander,5T-MAV,Mauritanian AF,,,Mauritania,U1
32,,,,BN-2A-21 Islander,5T-MAA,Mauritanian AF,,,Unknown country,U1
33,,,,BN-2A-26 Islander,5B-CHG,Jenair,,Paphos Internati...,Cyprus,U1
34,,,,BN-2A-8 Islander,F-OBSN,Bordeaux Aviation,,,Unknown country,U1
35,,,,BN-2A-8 Islander,YV-508C,Aero Servicios Caicara,,,Unknown country,U1
36,,,,BN-2A-8 Islander,TZ-ASC,Unknown,0,,Unknown country,U1
37,,,,BN-2A-8 Islander,XA-GEL,Aviacsa,,Toluca ?,Mexico,U1
38,,,,BN-2A-8 Islander,N94CA,Harbor Airlines,,,Unknown country,U1
39,,,,BN-2A-8 Islander,F-ODYF,Aviazur,,Nouméa ?,New Caledonia,U1
40,,,,BN-2B-21 Islander,SAF001,Surinam Air Force,,,Unknown country,U1
41,,,,Douglas C-47A (DC-3),HK-1505,Unknown,0,within Bahamas,Bahamas,A1
42,,,,Douglas C-47D (DC-3),43-49023,USAAF,,Unknown,Unknown country,U1
43,,,,Fairchild C-82A Packet,XH-139,SAHSA,,Trujillo-Capiro ...,Honduras,A1
44,,,,Fairchild SA227-DC Metro 23 (C-26B),341,Peruvian AF,,unknown,Peru,A1
45,,,,Grumman G-159 Gulfstream I,5Y-JET,JetPet,0,Nairobi-Wilson A...,Kenya,A1
46,,,,Ilyushin Il-12,,Soviet AF,,near Tukalan River,Russia,A1
47,,,,Ilyushin Il-14T,CCCP-04180,GUSMP - Directorate of Polar Aviation,0,Ice Station Koms...,Antarctica,A1
48,,,,Ilyushin Il-76,CCCP-86711,Ilyushin,,Riga-Spilve Airp...,Latvia,A1
49,,,,Ilyushin Il-76M,CCCP-86742,Soviet AF,,,Unknown country,U1
50,,,,Ilyushin Il-76M,CCCP-86834,Soviet AF,0,Novokuznetsk Air...,Russia,A1
51,,,,Ilyushin Il-76M,CCCP-86859,Soviet AF,0,Shadrinsk Air Base,Russia,A1
52,,,,Ilyushin Il-76TD,7O-ADF,Yemen AF,0,Sana'a Internati...,Yemen,O1
53,,,,Ilyushin Il-78,76736,Ukraine Air Force,0,Uzyn Air Base,Ukraine,O1
54,,,,Let L-410T,931,Libyan Arab Rep. Air Force,,,Libya,U1
55,,,,Let L-410UVP,HR-ASF,Atlantic Airlines,,La Ceiba ?,Honduras,A1
56,,,,Lisunov Li-2,,Unknown,,near Ugulan,Russia,A1
57,,,,Lisunov Li-2,CCCP-63916,Aeroflot - Yakutsk,,near Tiksi,Russia,A1
58,,,,Lisunov Li-2F,39,Polish AF,0,,Poland,O1
59,,,,SNCASO S.O.94R Corse II,56.S.17,French Navy,0,within France,France,A1
60,,,,Super Avia 14,LZ-ILF,Balkan Bulgarian,,Provadia,Bulgaria,A1
61,,,,Yakovlev Yak-40EC,I-JAKI,Weasua Air Transport,,Monrovia-Sprigg ...,Liberia,U1
62,2,AUG,1919,Caproni Ca.48,,Caproni,14,Verona,Italy,A1
63,11,AUG,1919,Felixstowe Fury,N123,RAF,1,near Felixtowe RNAS,U.K.,A1
64,23,FEB,1920,Handley Page O/7,G-EANV,Handley Page Transport,0,Acadia Siding -  C...,South Africa,A1
65,25,FEB,1920,Handley Page O/400,G-EAMC,Handley Page Transport,0,near El Shereik,Sudan,A1
66,30,JUN,1920,Handley Page O/400,G-EAKE,Handley Page Transport,0,Östanå,Sweden,A1
67,14,DEC,1920,Handley Page O/400,G-EAMA,Handley Page Transport,4,Golders Green,U.K.,A1
68,15,JAN,1921,Aeromarine 75,,Aeromarine Airways,0,Havana harbour,Cuba,O1
69,2,MAR,1921,Handley Page O/7,G-IAAC,HP Indo-Burmese Transport,0,Meerut,India,O1
70,4,MAR,1921,Caproni Ca.60 Noviplano,,Caproni,0,Lago Maggiore,Italy,A1
71,26,AUG,1921,Farman F.60 Goliath,O-BLAN,SNETA,2,near Calais [The Engl...,France,A1
72,27,SEP,1921,Farman F.60 Goliath,O-BRUN,SNETA,0,Evere Airfield,Belgium,O1
73,27,SEP,1921,Farman F.60 Goliath,O-BLEU,SNETA,0,Evere Airfield,Belgium,O1
74,30,DEC,1921,Handley Page O/10,G-EATM,Handley Page Transport,,Berck-sur-Mer,France,U1
75,22,JAN,1922,Handley Page O/10,G-EATN,Handley Page Transport,0,near Senlis,France,A1
76,31,MAR,1922,Handley Page O/7,,Chinese Government,14,near Beijing-Nanyuan ...,China,A1
77,7,APR,1922,Farman F.60 Goliath,F-GEAD,Grands Express Aériens,5,Thieuloy-Saint-A...,France,A1
78,13,JAN,1923,Aeromarine 75,,Aeromarine Airways,4,near Havana -  Cuba,Atlantic Ocean,A1
79,14,MAY,1923,Farman F.60 Goliath,F-AEBY,Air Union,6,Monsures -  Somme,France,A1
80,25,JUN,1923,Farman F.60 Goliath,F-AEDL,Air Union,0,near Étaples,France,A1
81,10,JUL,1923,Handley Page W.8,G-EAPJ,Handley Page Transport,0,Poix,France,A1
82,15,JUL,1923,Farman F.60 Goliath,F-AEEE,Compagnie Aérienne Française,0,near Valenciennes,France,A1
83,27,AUG,1923,Farman F.60 Goliath,F-AECB,Air Union,1,East Malling -  Kent,U.K.,A1
84,3,DEC,1923,Farman F.60 Goliath,F-AEIF,Air Union,,Littlestone -  Kent,U.K.,A1
85,,,1923,Aeromarine 75,,Aeromarine Airways,0,Havana harbour,Cuba,O1
86,22,JAN,1924,Farman F.60 Goliath,F-GEAO,Air Union,,London-Croydon A...,U.K.,A1
87,6,AUG,1924,Farman F.60 Goliath,F-ADDT,Air Union,0,Golden Green -  ne...,U.K.,A2
88,24,AUG,1924,Farman F.61 Goliath,F-ADFP,SGTA,0,near Amsterdam-Schiph...,Netherlands,A1
89,16,OCT,1925,Farman F.60 Goliath,F-HMFU,Air Union,3,Wadhurst -  East S...,U.K.,A1
90,14,NOV,1925,Farman F.60 Goliath,F-FHMY,Air Union,0,near Boulogne [Englis...,France,A2
91,18,AUG,1926,Blériot 155,F-AIEB,Air Union,4,Hurst -  near Ashf...,U.K.,A1
92,2,OCT,1926,Blériot 155,F-AICQ,Air Union,7,Leigh -  Kent,U.K.,A1
93,21,OCT,1926,Handley Page W.10,G-EBMS,Imperial Airways,0,English Channel,U.K.,A1
94,20,NOV,1926,Junkers G.24,D-944,Deutsche Lufthansa,,Königsberg,Germany,A1
95,5,MAY,1927,Farman F.61 Goliath,F-ADFN,SGTA,2,Atlantic Ocean,Atlantic Ocean,A1
96,22,AUG,1927,Fokker F.VIII,H-NADU,KLM,1,St. Julians -  Sev...,U.K.,A1
97,15,FEB,1928,Handley Page W.8b,G-EBBG,Imperial Airways,0,near Abbeville,France,A1
98,11,MAR,1928,Farman F.60 Goliath,F-AEFC,Air Union,2,near Folkestone -  Kent...,U.K.,A1
99,11,APR,1928,Fokker F.VIII,H-NAEE,KLM,0,Nigtevecht,Netherlands,A1
100,19,APR,1928,Junkers G.24,D-946,Deutsche Lufthansa,0,Spaichingen,Germany,A1
101,12,MAY,1928,Ford 4-AT-A Tri-Motor,NC1492,Ford Air Freight Lines,2,Dearborn -  MI,USA,A1
102,23,MAY,1928,Farman F.63bis Goliath,F-AEIE,SGTA,3,near Köln-Butzweiler...,Germany,A1
103,25,AUG,1928,Ford 4-AT-B Tri-Motor,G-CATX,British Columbia Airways,7,near Port Townsend -  WA,USA,A1
104,25,SEP,1928,Junkers G.31de,D-1427,Deutsche Lufthansa,0,Arnsberg,Germany,A1
105,13,OCT,1928,Ford 4-AT-A Tri-Motor,NC880,Stout Air Services,0,Detroit -  MI,USA,A1
106,23,NOV,1928,Ford 4-AT-B Tri-Motor,NC7687,Spokane Airways,3,Moran Prairie -  S...,USA,A1
107,1,DEC,1928,Ford 4-AT-C Tri-Motor,NC7862,Sunbeam Air Transport Co.,5,near Spur -  TX,USA,A1
108,11,DEC,1928,Junkers G.31fi,D-1473,Deutsche Lufthansa,3,Letzlingen,Germany,A1
109,22,DEC,1928,Ford 4-AT-A Tri-Motor,NC3443,Texaco,0,Floresville -  TX,USA,A1
110,,DEC,1928,Junkers G.31ce,D-1137,Deutsche Lufthansa,,,Germany,A1
111,16,JAN,1929,Ford 4-AT-A Tri-Motor,NC1076,Stout Air Services,0,near Toledo -  OH,USA,A1
112,,FEB,1929,Junkers G.24,D-899,Deutsche Lufthansa,,Epinais -  Bretagne,France,A1
113,17,MAR,1929,Ford 4-AT-B Tri-Motor,NC7683,Colonial Western Airlines,14,near Newark Airport -  ...,USA,A1
114,19,MAR,1929,Ford 5-AT-B Tri-Motor,NC9674,Ford Motor Company,4,Dearborn -  MI,USA,A1
115,12,APR,1929,Dornier Do R4 Superwal,I-RIDE,SANA,0,near Napoli,Italy,O1
116,21,APR,1929,Ford 5-AT-B Tri-Motor,NC9636,Maddux Airlines,5+ 1,near San Diego Airpor...,USA,A1
117,16,MAY,1929,Vickers 170 Vanguard,G-EBCP,Vickers-Armstrongs,2,Shepperton,U.K.,A1
118,19,MAY,1929,Farman F.63bis Goliath,F-GEAI,Air Union,0,Paddock Wood -  Kent,U.K.,A1
119,2,JUN,1929,Fokker F.10A,NC393E,Western Air Express,0,Wichita -  KS,USA,O1
120,13,JUN,1929,Fokker F.10A,NC9700,Pan Am,2,Santiago Airport...,Cuba,A1
121,17,JUN,1929,Handley Page W.10,G-EBMT,Imperial Airways,7,near Dungeness,U.K.,A1
122,24,JUN,1929,Ford 5-AT-A Tri-Motor,NC7416,Northwest Airways,1,Saint Paul -  MN,USA,A1
123,29,AUG,1929,Junkers G.24li,SE-AAF,AB Aerotransport,0,Emsland,Germany,A1
124,3,SEP,1929,Ford 5-AT-B Tri-Motor,NC9649,Transcontinental Air Transport - TAT,8,near Gallup -  NM,USA,A1
125,6,SEP,1929,DH.66 Hercules,G-EBMZ,Imperial Airways,3,Jask Airport,Iran,A1
126,10,SEP,1929,Rohrbach Ro X Romar I,D-1734,Deutsche Lufthansa,0,near Grömitz,Germany,A1
127,19,OCT,1929,Sabca (Handley Page) W.8B,OO-AHK,Sabena,0,Edegem,Belgium,A1
128,26,OCT,1929,Short S.8/1 Calcutta,G-AADN,Imperial Airways,7,near La Spezia,Italy,A1
129,,OCT,1929,Farman F.63bis Goliath,F-FARI,SGTA,,,Unknown country,U1
130,6,NOV,1929,Junkers G.24bi,D-903,Deutsche Lufthansa,7,near Godstone -  Surrey,U.K.,A1
131,18,NOV,1929,Rohrbach Ro X Romar I,D-1693,Deutsche Lufthansa,0,Lübeck-Travemü...,Germany,A1
132,27,NOV,1929,Fokker F.32,NX124M,Fokker Aircraft Corp. of America,0,near Hempstead-Roosev...,USA,A1
133,4,DEC,1929,Curtiss B-2 Condor (Condor 18),29-28,USAAC,1,Goodwater -  AL,USA,A1
134,12,DEC,1929,Farman F.180T,F-AIVR,SGTA,0,Toussus-le-Noble,France,O1
135,26,DEC,1929,Fokker F.10,NC5358,Western Air Express,0,Oakland Municipa...,USA,A1
136,19,JAN,1930,Ford 5-AT-C Tri-Motor,NC9689,Maddux Airlines,16,Oceanside -  CA,USA,A1
137,7,FEB,1930,Junkers R-42 (G.24),J6,Chilean AF,2,near Punta Arenas,Chile,A1
138,8,FEB,1930,Ford 4-AT-A Tri-Motor,NC2492,Private,0,San Marcos -  TX,USA,A1
139,10,FEB,1930,Farman F.63bis Goliath,F-FHMY,Air Union,2,Marden -  Kent,U.K.,A1
140,14,FEB,1930,DH.66 Hercules,G-EBNA,Imperial Airways,0,Gaza,Israel,A1
141,23,FEB,1930,Fokker F.10A,NC279E,Western Air Express,3,near San Bernardino -  CA,USA,A1
142,2,MAR,1930,Ford 4-AT-A Tri-Motor,R-131,NYRBA,0,Cordoba,Argentina,A1
143,8,APR,1930,Ford 5-AT-C Tri-Motor,R-148,Tri-Motor Safety Airways,,Buenos Aires,Argentina,A1
144,31,MAY,1930,Handley Page W.9a Hampstead,VH-ULK,Ellyou Goldfields Development,,Mount Misim,P.N. Guinea,A1
145,5,JUN,1930,Ford 5-AT-B Tri-Motor,NC9675,Colonial Air Transport,1,Boston -  MA,USA,A1
146,25,JUN,1930,Ford 5-AT-A Tri-Motor,NC7739,Northwest Airways,0,Chicago Municipa...,USA,O1
147,25,JUN,1930,Fokker F.10A,NC457E,Universal Airlines,0,Chicago -  IL,USA,O1
148,25,JUN,1930,Fokker F.10A,NC879E,Universal Airlines,0,Chicago -  IL,USA,O1
149,25,JUN,1930,Fokker F.10A,NC803E,Universal Airlines,0,Chicago -  IL,USA,O1
150,25,JUN,1930,Fokker F.10A,NC135E,Universal Airlines,0,Chicago -  IL,USA,O1
151,25,JUN,1930,Fokker F.10,NC8010,Shell Oil,0,Chicago -  IL,USA,O1
152,25,JUN,1930,Fokker F.10,NC5614,Northern Airlines,0,Chicago -  IL,USA,O1
153,9,JUL,1930,Farman F.63bis Goliath,F-ADFQ,SGTA,1,Aalsmeer,Netherlands,A1
154,12,JUL,1930,Curtiss Condor 18,NC.....,Curtiss,,Valley Stream -  NY,USA,A1
